Tweet,Sentiment,Confidence
"Mainstream media has done an amazing job at brainwashing people. Today at work, we were asked what companies we believe in &amp; I said  because they make the safest cars &amp; EVERYONE disagreed with me because they heard“they catch on fire &amp; the batteries cost 20k to replace”",POSITIVE,0.9140059947967529
Tesla delivery estimates are at around 364k from the analysts. $tsla,NEGATIVE,0.994570791721344
"3/ Even if I include 63.0M unvested RSUs as of 6/30, additional equity needed for the RSUs is 63.0M x $54.20 = $3.4B. If the deal closed tomorrow at $54.20, Elon would need $2.0B for existing shares plus $3.4B for RSUs, so $5.4B new equity. $twtr $tsla",NEGATIVE,0.9985101819038391
"Hahaha why are you still trying to stop Tesla FSD bro! Get your shit together and make something better? Thats how companies work, they competed. Crying big old ass fart clown!",NEGATIVE,0.9990354776382446
"Stop trying to kill kids, you sad deranged old man",NEGATIVE,0.9936918020248413
This is you,POSITIVE,0.9997513890266418
"For years  viciously silenced  critics. Failing to silence me, he desperately lashes out  with childish insults about me, my company, my products - and even my ! His fear and impotence spurs me on to ensure that everyone understands Full Self-Driving is.",POSITIVE,0.989319384098053
"$NIO just because I'm down money doesn't mean this is a bad investment. The whole market, everything sucks right now. 2-5 years from now, I'm confident it will pay off. Long the best $AAPL $AMZN $TSLA $GOOGL $NIO",POSITIVE,0.7852057814598083
50 likes for some $SPY $TSLA charts to study!,POSITIVE,0.9527556896209717
"The powerwalls themselves are waterproof, but what could be bad is any wiring in the house that could be damaged.",NEGATIVE,0.9984230995178223
"Tomorrow, Tesla, $TSLA, AI day 2 is ongoing.

Unusual Whales is bringing some Tesla experts to discuss what to expect and $TSLA generally.

Join below to prepare before the event at 6:55PM EST:",POSITIVE,0.9934110045433044
Powerwall FTW!,NEGATIVE,0.9947718977928162
"$TSLAQ: Tesla’s dead in Europe! Everyone else is passing $TSLA in the EU now in EV unit sales! If you don’t believe us, go to eu-evs and see for yourself!

Me: &lt;goes to eu-evs&gt;",NEGATIVE,0.9990487694740295
The irony is so thick you can cut it with a knife.,NEGATIVE,0.9645251035690308
Tesla AI day in 24 hours. Are you ready? $TSLA rocks big time.,POSITIVE,0.9954463839530945
Picked up some $TSLA shares at $269,NEGATIVE,0.9882583618164062
"2/ Even if  loses the $TWTR trial (would more likely settle at $51-$52/share), Elon would only have to raise $2-$3B more from $TSLA sales (raised $15B equity) to fund the equity needed to complete the deal, assuming the $7B 3P equity and $13B debt financing still intact.",NEGATIVE,0.9992282390594482
"Everyone should keep a long term perspective. It’s always darkest before the dawn. With 2026 EPS of $20.80, at 40x P/E (2x PEG), $TSLA worth $832 by 2026. Discounting this back at 13.6% (4.0% 10yrTY, 6% ERP, 1.6x beta), $TSLA value $550. That’s 100% upside over 6-12 mos.",NEGATIVE,0.9960386753082275
$TSLA Cybertruck can act as a boat according to Elon.,NEGATIVE,0.9959009289741516
"destination chargers are ready to charge all electric vehicles, not just Tesla, for all employees.",POSITIVE,0.9649952054023743
"According to California rules that are now also being adopted by New York state, 69% of all new cars sold will have to be EVs by 2030.  $TSLA",NEGATIVE,0.9879173636436462
"“New York state plans to adopt California's rules approved in August that would require all new vehicles sold in the state by 2035 to be either electric or plug-in electric hybrids, Governor Kathy Hochul said Thursday” — Reuters $TSLA",NEGATIVE,0.9890660047531128
But $TSLA is just a car company and the auto analysts are the only ones that should value it…..,NEGATIVE,0.9991514682769775
"Tomorrow, Tesla, $TSLA, AI day 2 is ongoing.

Unusual Whales is bringing some Tesla experts to discuss, including:

 
 
 
 
 

&amp; more!

Join below to prepare before the event at 6:55PM EST:",POSITIVE,0.9953966736793518
Time for me to wrap up things for next 10 days and walk away from the markets and enjoy some time off again. I'm holding all my shares as it makes no sense to panic sell this bloodbath today. I'll check in when gone but everyone have a great week. AI and deliveries on deck. $TSLA,POSITIVE,0.985049307346344
"Today they're shooting the generals.
$AAPL $TSLA",NEGATIVE,0.9971206784248352
I think i’ll buy some $TSLA today before the close,NEGATIVE,0.9906942248344421
"Fuck what you heard, it’s Tesla AI day (part 2) tomorrow, where the world gets a glimpse at Tesla’s most important product ever made. $TSLA",POSITIVE,0.9402641654014587
This makes my day!   $TSLA,POSITIVE,0.9979442954063416
Even after being down 7% today the PE is 103x. Totally insane with growth having plateaued and a 10% haircut to ASP from FX. Nobody should be surprised when $TSLAQ is a fraction of itself in 6 months! $TSLA $TSLAQ,NEGATIVE,0.9933492541313171
"Tesla $TSLA Shares Could Rise in Coming Weeks Due to 3 Factors, Says Goldman Sachs",NEGATIVE,0.9395764470100403
Meanwhile things continue to go well at Tesla. Wouldn't know it from the stock price however... $TSLA,POSITIVE,0.9890945553779602
This ugly mean bear market is working its way through. Creating huge opportunities for investors who can see past this rate hike cycle. Which should be over soon.  $TSLA,NEGATIVE,0.9851205945014954
$tsla just retested the $798 pre-split level. Screaming buy now.,NEGATIVE,0.9976818561553955
"No way to sugarcoat $TSLA -6.9% today vs NDX -3.2%. Mainly due to Fed officials hammering home the message that int rates still going higher. Instit’ns don’t expect much from AI Day 2, worry about 3Q China deliveries, and realize $TWTR v Musk proceeding not going well for Elon.",NEGATIVE,0.9991993308067322
"Friendly reminder to the $TSLA holders: As the value of $TSLA goes down, the number of shares Elon will have to sell in case he has to buy $TWTR goes up.",POSITIVE,0.6620644330978394
"$TSLA along a few others the only interesting plays in a pretty choppy week--At 287, during a big green day, we said the bounce was corrective looking -7% since--As this and $AAPL catch up with the rest of tech they can still offer some good R:R plays",POSITIVE,0.9559551477432251
All I see is a free Tesla,POSITIVE,0.9770583510398865
roof stood up to  with 155mph winds and a 10’ storm surge! This Powerwall was underwater for hours and is still working perfectly.,POSITIVE,0.9991180300712585
"Rent checks coming in 2 days. 

I’ll be plowing it into $TSLA.",NEGATIVE,0.997124969959259
roof stood up to  with 155mph winds and a 10’ storm surge! This Powerwall was underwater for hours and is still working perfectly.,POSITIVE,0.9991180300712585
"Investing in the stock market was and never will be easy bc many throw in the white towel along the way, bc they panic. 

Don’t panic. 

$TSLA",NEGATIVE,0.9846610426902771
Being a $TSLA investor since 2017 has made me comfortably numb,NEGATIVE,0.9996539354324341
$TSLA now down $60 Pre-split in just a few hours today. Crazy stuff.,NEGATIVE,0.9991494417190552
"Thank you  for delivering a car to the wrong address (my house), blocking my driveway for hours and not allowing me to pickup my kids from school on such a hot day. On top of that, all your driver had to say was ""call Tesla and tell them, I'm just a driver"".",NEGATIVE,0.9880380630493164
"Hey , Tesla should honor Ryan’s order. They cancelled on him due to financing but he should be allowed to complete the order at the agreed upon price if he can secure his own financing. 

This guy has bought many Teslas from you, he should be getting VIP treatment.",NEGATIVE,0.9874486327171326
How do EVs charge after a natural disaster?,NEGATIVE,0.9971087574958801
"(Reuters) - New York state plans to adopt California's rules approved in August that would require all new vehicles sold in the state by 2035 to be either electric or plug-in electric hybrids.

$TSLA $GM $F",NEGATIVE,0.9928597807884216
For those who want to read the anti-Musk view about how the Twitter vs Musk case is going.  $TWTR $TSLA,NEGATIVE,0.9884976148605347
This thing is never coming to market. $TSLA,NEGATIVE,0.9997475743293762
"I remember hearing  say years ago “FSD Beta will work even in San Francisco” 

I didn’t believe him. It was too hard to imagine. Fast forward to today and you can drive in rush hour traffic in San Francisco without takeover more often than not. Crazy. $TSLA",NEGATIVE,0.555520236492157
"Ron Barron: We see so much potential, we don’t want to sell; Of all companies I cover &amp; analysts come pitch to me, the company I feel the most confidence in is $TSLA; People think we're going into a slowdown but demand for their cars has never been better.",POSITIVE,0.977616012096405
I have a crazy gut feeling that this is the time to short $tsla at long last.,NEGATIVE,0.9992652535438538
"Cybertruck will be able to serve as a boat. 

This product is going to be nuts, for real. 

$TSLA",NEGATIVE,0.9933941960334778
"How are those Model S ""boats"" doing, Mr. Fraudsperger's?

$TSLA",NEGATIVE,0.9992388486862183
"Took the $274.24 for the quick $6,000 win. $TSLA",POSITIVE,0.9705467224121094
"Top 10 $QQQ Holdings 

And Credit Rating

$AAPL : AAA
$MSFT : AAA
$AMZN : A1
$TSLA : BA1
$GOOG: AA2
$GOOGL: AA2
$META : A1
$NVDA : A2
$PEP : A1
$COST : AA3

In the coming months investors will learn why credit ratings were important.",NEGATIVE,0.995730459690094
"Bought 25 more $TSLA.

Bc why not?",NEGATIVE,0.9968540072441101
This supports my comments yesterday that full-price fleet sales could be positive contributor to 3Q $TSLA delivs.,NEGATIVE,0.9235475063323975
I guess all the hyperbulls that had $TSLA disrupting labor and helping Elon build a colony on Mars in 2024 will need to scrap their pre-recorded YT videos and revise their unicorn Microsoft Excel spreadsheet models.,NEGATIVE,0.9996898174285889
"Translation:

$TSLA doesn't have jack shit, and needs to try to hire people (in an extremely competitive field) to get it for them.",NEGATIVE,0.9994420409202576
"Not an awesome buying seen here so far so close to my level 36xx 

But there’s likely a wall of limit orders here sub 360 $spy 

It’s front running it along with my $tsla key LIS at 27X 

I think the wise thing will be to explore this wall of orders and see what’s out there",NEGATIVE,0.9011966586112976
"The last two remaining blocks in the market are starting to melt
$AAPL $TSLA",NEGATIVE,0.9987344145774841
"This is what we're dealing with people. You can't be blind to the fact he is just not with it and should NOT be ""running the country."" Shaking hands with the air, unaware of surroundings, etc. How can you feel confident seeing this? $TSLA

 via",POSITIVE,0.9161054491996765
"Guilty of overtrading in this aggressive price action. I’m far from perfect but I try my best to keep my losses small. 

Think I did a good job of that today!

$SPY $AAPL $TSLA",NEGATIVE,0.9676952958106995
"avoids a cyclist, pedestrians and a car pulling out, all in the span of ~20s. Very impressive. $TSLA",POSITIVE,0.9954507946968079
When is the last time we saw $TSLA down almost $50 (pre-split) in 40 min? Wowza.,NEGATIVE,0.9989601373672485
"Just bought 3,000 for a day trade at $272.32. $TSLA",NEGATIVE,0.9835817813873291
"Model 3 Battery pack for sale on Ebay. Look at the damage, yet no fire. Pyro fuse doing its job. 

(TSLAQ is broke)",NEGATIVE,0.9989732503890991
"Don’t be scared. Don’t panic. 

These are the times to scoop up the best companies on the low. 

Nibble nibble nibble. 

Little by little, the tide will turn in our favor.

Once inflation metrics cool off, that’s when we’ll moon.

Until then, I’m loading the booster.

$TSLA",POSITIVE,0.9970738887786865
Stocks and futures dropping now after that jobless claims number. It was lower than we needed for a bounce. We need some data points to move markets but we're not getting it yet. $TSLA,NEGATIVE,0.9995972514152527
Crap. No help from data today for markets. $TSLA,NEGATIVE,0.9997987151145935
Jobless claims coming up in 2 min. Would love to see that spike higher for markets. $TSLA,NEGATIVE,0.9354011416435242
"Our portfolio company in the Hydrogen sector: Fusion Fuel $HTOO today announces a $5 million USD Tech Sale Contract for 3.2 MW Green Hydrogen Project in Spain

Read for price targets and our comment 



Related: 
 $HYPRO $NXH $FCEL $GREENH $TSLA",NEGATIVE,0.9903903007507324
$TSLA ends Hawaii’s dependency on coal,NEGATIVE,0.9683743715286255
Buckle up. Meester is going to talk now. $TSLA,POSITIVE,0.9949899315834045
Ghost orders at $287.82. Hoping that is the target for after the open. The ghost orders usually indicate direction for the day. $TSLA,NEGATIVE,0.994702160358429
"Happy Thursday. The hurricane passed over my house around 2am. It was very scary, a lifetime event. I am safe &amp; happy. Would like to thank you all for thinking of me, for your prayers &amp; kind words. The $TSLA community is full of wonderful people &amp; I love you all.",POSITIVE,0.9998385906219482
"Me and my family are all safe, but please spread the word to think and consider helping in any way the many people and families in Florida that are facing total tragedy.",POSITIVE,0.9984549283981323
"So, tomorrow we have AI day and then this weekend we'll get Q3 deliveries. You know my position on AI day. Usually it's not a good catalysts for the stock. Quite the reverse. Now, deliveries I'm anticipating to be an upside surprise. It's a tough call holding into Monday. $TSLA",NEGATIVE,0.9989103078842163
"Two big things happening on September 30! 

  Platform Token Listing
  and  unveiling",NEGATIVE,0.897047221660614
"This has the potential to become worse than VW’s Dieselgate, if  does its job. 

Is $35bn a lot? 

$TSLA",NEGATIVE,0.999763548374176
"$TSLA AI Day 2 expectations remain muted, with a new Optimus robot prototype, FSD update, and Dojo supercomputer the three parts of Fri night’s event (5pm PT)  at TSLA’s former Palo Alto CA headquarters. $TSLA 3Q volumes will be posted Sunday 10/2 (360K exp vs 357K WS).",NEGATIVE,0.9991421699523926
"And, yesterday never happened. This is how the markets function when broken. Up one day and then gone the next. The power of the VIX. $tsla",POSITIVE,0.772875964641571
"Market Recap:

Why did the market rally today? + Systemic risk is nothing to celebrate + The BOE is back to QE! The consequences are severe + The currency wars will guarantee a global recession + Charts $SPY $QQQ $IWM $DXY $GDX $TLT $VIX $AAPL $TSLA $BTC",NEGATIVE,0.9994213581085205
"I may not be attending AI Day but it’s prob one of the most exciting days I look forward to at   
Hoping to hear about the manufacturing floor work capabilities of the Tesla Optimus Bot",POSITIVE,0.9993491768836975
"- Twitter EXPOSED, Tesla’s HUGE Q3 Push &amp; Board Change, Epic Elon Interview SOON

NEW
 
$TSLA       $ABNB $HTZ $TWTR",NEGATIVE,0.9728466868400574
